The Hangover,Comedy,2000,Blockbuster
Harry Potter and the Prisoner of Azkaban,Fantasy,2000,Blockbuster
Inception,Action,2010,Blockbuster
Spiderman No Way Home,Action,2020,Blockbuster
Now You See Me,Crime,2010,Blockbuster
Breakfast at Tiffany's,Romance,1960,Medium
Down With Love,Romance,2000,Medium
The Maiden Heist,Crime,2000,Medium
She's Out of My League,Comedy,2010,Medium
Encino Man,Comedy,1990,Medium
When Harry Met Sally,Romance,1980,Medium
Indiana Jones,Action,1980,Blockbuster
Lord of the Rings,Fantasy,2000,Blockbuster
Casablanca,Romance,1940,Medium
Ocean's Eleven,Crime,2000,Blockbuster
Fantastic Beasts ,Fantasy,2010,Blockbuster
Speed,Action,1990,Blockbuster
The Matrix,Action,1990,Blockbuster
Airplane,Comedy,1980,Medium
The Naked Gun,Comedy,1980,Medium
Up,Family,2000,Blockbuster
Iron Man,Action,2000,Blockbuster
A Bug's Life,Family,1990,Blockbuster
Bedazzled,Comedy,2000,Medium
Shrek,Family,2000,Blockbuster
Back to the Future,Comedy,1980,Medium
Jurassic Park,Action,1990,Blockbuster
E.T.,Family,1980,Medium
Resevoir Dogs,Action,1990,Medium
Star Wars,Fantasy,1970,Medium
The Usual Suspects,Thriller,1990,Medium
The Sixth Sense,Thriller,1990,Blockbuster
Superbad,Comedy,2000,Medium
Love Actually,Romance,2000,Blockbuster
American Animals,Crime,2010,Medium
Get Out,Thriller,2010,Medium
Finding Nemo,Family,2000,Blockbuster
Blazing Saddles,Comedy,1970,Medium
The Big Lebowski,Comedy,1990,Medium
Sleepless in Seattle,Romance,1990,Medium
